qseqid	sseqid	length	mismatch	gaps	qstart	qend	sstart	send	evalue	pident	qlen
Titin_reion	CAA62188.1	37	26	0	14	50	19116	19152	0.42	29.73	90
Titin_reion	CAA62188.1	41	30	0	10	50	14784	14824	0.49	26.829	90
Titin_reion	CAA62188.1	80	56	8	15	87	9328	9406	0.55	20	90
Titin_reion	CAA62188.1	37	24	0	14	50	15184	15220	0.56	35.135	90
Titin_reion	CAA62188.1	35	19	5	32	61	2692	2726	0.63	31.429	90
Titin_reion	CAA62188.1	60	41	3	14	73	5979	6035	0.65	26.667	90
Titin_reion	CAA62188.1	57	35	6	34	90	2955	3005	0.97	28.07	90
Titin_reion	CAA62188.1	30	21	0	56	85	21412	21441	1.2	30	90
Titin_reion	CAA62188.1	52	37	1	31	82	26251	26301	1.3	26.923	90
Titin_reion	CAA62188.1	36	27	0	15	50	20200	20235	1.4	25	90
Titin_reion	CAA62188.1	17	9	0	26	42	5278	5294	1.6	47.059	90
Titin_reion	CAA62188.1	81	45	17	5	85	17045	17108	1.9	23.457	90
Titin_reion	CAA62188.1	21	11	0	60	80	5044	5064	2.5	47.619	90
Titin_reion	CAA62188.1	44	31	2	31	74	2516	2557	2.7	25	90
Titin_reion	CAA62188.1	91	50	21	10	79	15866	15956	2.9	21.978	90
Titin_reion	CAA62188.1	72	43	13	14	85	18132	18190	3.1	22.222	90
Titin_reion	CAA62188.1	41	30	0	10	50	20293	20333	3.6	26.829	90
Titin_reion	CAA62188.1	37	27	0	14	50	18431	18467	4.1	27.027	90
Titin_reion	CAA62188.1	74	46	13	14	87	16266	16326	4.2	20.27	90
Titin_reion	CAA62188.1	56	30	13	14	56	14101	14156	5.6	23.214	90
Titin_reion	CAA62188.1	21	12	0	14	34	17742	17762	6	42.857	90
Titin_reion	CAA62188.1	34	26	0	14	47	12621	12654	6	23.529	90
Titin_reion	CAA62188.1	47	31	1	4	50	19603	19648	7.6	31.915	90
Titin_reion	CAA62188.1	59	44	0	14	72	23562	23620	8.1	25.424	90
Titin_reion	CAA62188.1	35	21	3	12	43	8107	8141	8.5	31.429	90
Titin_reion	CAA62188.1	69	40	15	14	82	20992	21045	8.5	20.29	90
Titin_reion	CAA62188.1	28	18	1	14	40	22370	22397	8.5	32.143	90
Titin_reion	CAA62188.1	22	15	0	15	36	16953	16974	9.7	31.818	90
